case,origin,dest,demand,y,flow
  194, 2,  4,225.0000, 48.2807,225.0000
  195, 1,  4,300.0000, 40.1667,300.0000
  195, 2,  4,225.0000, 48.2735,225.0000
  196, 1,  4,300.0000, 40.1667,300.0000
  196, 2,  4,225.0000, 48.2664,225.0000
  197, 1,  4,300.0000, 40.1667,300.0000
  197, 2,  4,225.0000, 48.2593,225.0000
  198, 1,  4,300.0000, 40.1667,300.0000
  198, 2,  4,225.0000, 48.2522,225.0000
  199, 1,  4,300.0000, 40.1667,300.0000
  199, 2,  4,225.0000, 48.2451,225.0000
  200, 1,  4,300.0000, 40.1667,300.0000
  200, 2,  4,225.0000, 48.2381,225.0000
  201, 1,  4,300.0000, 40.1667,300.0000
  201, 2,  4,225.0000, 48.2311,225.0000
  202, 1,  4,300.0000, 40.1667,300.0000
  202, 2,  4,225.0000, 48.2241,225.0000
  203, 1,  4,300.0000, 40.1667,300.0000
  203, 2,  4,225.0000, 48.2171,225.0000
  204, 1,  4,300.0000, 40.1667,300.0000
  204, 2,  4,225.0000, 48.2102,225.0000
  205, 1,  4,300.0000, 40.1667,300.0000
  205, 2,  4,225.0000, 48.2032,225.0000
  206, 1,  4,300.0000, 40.1667,300.0000
  206, 2,  4,225.0000, 48.1963,225.0000
  207, 1,  4,300.0000, 40.1667,300.0000
  207, 2,  4,225.0000, 48.1895,225.0000
  208, 1,  4,300.0000, 40.1667,300.0000
  208, 2,  4,225.0000, 48.1826,225.0000
  209, 1,  4,300.0000, 40.1667,300.0000
  209, 2,  4,225.0000, 48.1758,225.0000
  210, 1,  4,300.0000, 40.1667,300.0000
  210, 2,  4,225.0000, 48.1690,225.0000
  211, 1,  4,300.0000, 40.1667,300.0000
  211, 2,  4,225.0000, 48.1622,225.0000
  212, 1,  4,300.0000, 40.1667,300.0000
  212, 2,  4,225.0000, 48.1554,225.0000
  213, 1,  4,300.0000, 40.1667,300.0000
  213, 2,  4,225.0000, 48.1487,225.0000
  214, 1,  4,300.0000, 40.1667,300.0000
  214, 2,  4,225.0000, 48.1419,225.0000
  215, 1,  4,300.0000, 40.1667,300.0000
  215, 2,  4,225.0000, 48.1352,225.0000
  216, 1,  4,300.0000, 40.1667,300.0000
  216, 2,  4,225.0000, 48.1286,225.0000
  217, 1,  4,300.0000, 40.1667,300.0000
  217, 2,  4,225.0000, 48.1219,225.0000
  218, 1,  4,300.0000, 40.1667,300.0000
  218, 2,  4,225.0000, 48.1153,225.0000
  219, 1,  4,300.0000, 40.1667,300.0000
  219, 2,  4,225.0000, 48.1087,225.0000
  220, 1,  4,300.0000, 40.1667,300.0000
  220, 2,  4,225.0000, 48.1021,225.0000
  221, 1,  4,300.0000, 40.1667,300.0000
  221, 2,  4,225.0000, 48.0955,225.0000
  222, 1,  4,300.0000, 40.1667,300.0000
  222, 2,  4,225.0000, 48.0890,225.0000
  223, 1,  4,300.0000, 40.1667,300.0000
  223, 2,  4,225.0000, 48.0824,225.0000
  224, 1,  4,300.0000, 40.1667,300.0000
  224, 2,  4,225.0000, 48.0759,225.0000
  225, 1,  4,300.0000, 40.1667,300.0000
  225, 2,  4,225.0000, 48.0694,225.0000
  226, 1,  4,300.0000, 40.1667,300.0000
  226, 2,  4,225.0000, 48.0630,225.0000
  227, 1,  4,300.0000, 40.1667,300.0000
  227, 2,  4,225.0000, 48.0565,225.0000
  228, 1,  4,300.0000, 40.1667,300.0000
  228, 2,  4,225.0000, 48.0501,225.0000
  229, 1,  4,300.0000, 40.1667,300.0000
  229, 2,  4,225.0000, 48.0437,225.0000
  230, 1,  4,300.0000, 40.1667,300.0000
  230, 2,  4,225.0000, 48.0373,225.0000
