method,case,dest,node,fout,lout,label
dp   ,  150, 1,  2,  4,  5, 47.36
dp   ,  150, 1,  3,  6,  6, 15.16
dp   ,  151, 1,  1,  1,  3, 39.06
dp   ,  151, 1,  2,  4,  5, 47.35
dp   ,  151, 1,  3,  6,  6, 15.16
dp   ,  152, 1,  1,  1,  3, 39.06
dp   ,  152, 1,  2,  4,  5, 47.34
dp   ,  152, 1,  3,  6,  6, 15.16
dp   ,  153, 1,  1,  1,  3, 39.06
dp   ,  153, 1,  2,  4,  5, 47.34
dp   ,  153, 1,  3,  6,  6, 15.16
dp   ,  154, 1,  1,  1,  3, 39.06
dp   ,  154, 1,  2,  4,  5, 47.33
dp   ,  154, 1,  3,  6,  6, 15.16
dp   ,  155, 1,  1,  1,  3, 39.06
dp   ,  155, 1,  2,  4,  5, 47.32
dp   ,  155, 1,  3,  6,  6, 15.16
dp   ,  156, 1,  1,  1,  3, 39.06
dp   ,  156, 1,  2,  4,  5, 47.32
dp   ,  156, 1,  3,  6,  6, 15.16
dp   ,  157, 1,  1,  1,  3, 39.06
dp   ,  157, 1,  2,  4,  5, 47.31
dp   ,  157, 1,  3,  6,  6, 15.16
dp   ,  158, 1,  1,  1,  3, 39.06
dp   ,  158, 1,  2,  4,  5, 47.30
dp   ,  158, 1,  3,  6,  6, 15.16
dp   ,  159, 1,  1,  1,  3, 39.06
dp   ,  159, 1,  2,  4,  5, 47.30
dp   ,  159, 1,  3,  6,  6, 15.16
dp   ,  160, 1,  1,  1,  3, 39.06
dp   ,  160, 1,  2,  4,  5, 47.29
dp   ,  160, 1,  3,  6,  6, 15.16
dp   ,  161, 1,  1,  1,  3, 39.06
dp   ,  161, 1,  2,  4,  5, 47.28
dp   ,  161, 1,  3,  6,  6, 15.16
dp   ,  162, 1,  1,  1,  3, 39.06
dp   ,  162, 1,  2,  4,  5, 47.28
dp   ,  162, 1,  3,  6,  6, 15.16
dp   ,  163, 1,  1,  1,  3, 39.06
dp   ,  163, 1,  2,  4,  5, 47.27
dp   ,  163, 1,  3,  6,  6, 15.16
dp   ,  164, 1,  1,  1,  3, 39.06
dp   ,  164, 1,  2,  4,  5, 47.26
dp   ,  164, 1,  3,  6,  6, 15.16
dp   ,  165, 1,  1,  1,  3, 39.06
dp   ,  165, 1,  2,  4,  5, 47.26
dp   ,  165, 1,  3,  6,  6, 15.16
dp   ,  166, 1,  1,  1,  3, 39.06
dp   ,  166, 1,  2,  4,  5, 47.25
dp   ,  166, 1,  3,  6,  6, 15.16
dp   ,  167, 1,  1,  1,  3, 39.06
dp   ,  167, 1,  2,  4,  5, 47.24
dp   ,  167, 1,  3,  6,  6, 15.16
dp   ,  168, 1,  1,  1,  3, 39.06
dp   ,  168, 1,  2,  4,  5, 47.24
dp   ,  168, 1,  3,  6,  6, 15.16
dp   ,  169, 1,  1,  1,  3, 39.06
dp   ,  169, 1,  2,  4,  5, 47.23
dp   ,  169, 1,  3,  6,  6, 15.16
dp   ,  170, 1,  1,  1,  3, 39.06
dp   ,  170, 1,  2,  4,  5, 47.23
dp   ,  170, 1,  3,  6,  6, 15.16
dp   ,  171, 1,  1,  1,  3, 39.06
dp   ,  171, 1,  2,  4,  5, 47.22
dp   ,  171, 1,  3,  6,  6, 15.16
dp   ,  172, 1,  1,  1,  3, 39.06
dp   ,  172, 1,  2,  4,  5, 47.21
dp   ,  172, 1,  3,  6,  6, 15.16
dp   ,  173, 1,  1,  1,  3, 39.06
dp   ,  173, 1,  2,  4,  5, 47.21
dp   ,  173, 1,  3,  6,  6, 15.16
dp   ,  174, 1,  1,  1,  3, 39.06
dp   ,  174, 1,  2,  4,  5, 47.20
dp   ,  174, 1,  3,  6,  6, 15.16
dp   ,  175, 1,  1,  1,  3, 39.06
dp   ,  175, 1,  2,  4,  5, 47.19
dp   ,  175, 1,  3,  6,  6, 15.16
dp   ,  176, 1,  1,  1,  3, 39.06
dp   ,  176, 1,  2,  4,  5, 47.19
dp   ,  176, 1,  3,  6,  6, 15.16
dp   ,  177, 1,  1,  1,  3, 39.06
dp   ,  177, 1,  2,  4,  5, 47.18
dp   ,  177, 1,  3,  6,  6, 15.16
dp   ,  178, 1,  1,  1,  3, 39.06
dp   ,  178, 1,  2,  4,  5, 47.18
dp   ,  178, 1,  3,  6,  6, 15.16
dp   ,  179, 1,  1,  1,  3, 39.06
dp   ,  179, 1,  2,  4,  5, 47.17
dp   ,  179, 1,  3,  6,  6, 15.16
dp   ,  180, 1,  1,  1,  3, 39.06
dp   ,  180, 1,  2,  4,  5, 47.16
dp   ,  180, 1,  3,  6,  6, 15.16
dp   ,  181, 1,  1,  1,  3, 39.06
dp   ,  181, 1,  2,  4,  5, 47.16
dp   ,  181, 1,  3,  6,  6, 15.16
dp   ,  182, 1,  1,  1,  3, 39.06
dp   ,  182, 1,  2,  4,  5, 47.15
dp   ,  182, 1,  3,  6,  6, 15.16
dp   ,  183, 1,  1,  1,  3, 39.06
dp   ,  183, 1,  2,  4,  5, 47.15
dp   ,  183, 1,  3,  6,  6, 15.16
dp   ,  184, 1,  1,  1,  3, 39.06
dp   ,  184, 1,  2,  4,  5, 47.14
dp   ,  184, 1,  3,  6,  6, 15.16
