method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   39, 1,  5,      0.00,  49.20, 49.20,0.0000,0.0000,  2,  4
dp   ,   39, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   40, 1,  1,      0.00,1000.00, 31.30,0.0000,0.0000,  1,  2
dp   ,   40, 1,  2,      0.00,  52.71, 37.60,0.0000,0.0000,  1,  3
dp   ,   40, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   40, 1,  4,    150.00,  48.95, 33.84,1.0000,0.0000,  2,  3
dp   ,   40, 1,  5,      0.00,  49.19, 49.19,0.0000,0.0000,  2,  4
dp   ,   40, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   41, 1,  1,      0.00,1000.00, 31.20,0.0000,0.0000,  1,  2
dp   ,   41, 1,  2,      0.00,  52.61, 37.50,0.0000,0.0000,  1,  3
dp   ,   41, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   41, 1,  4,    150.00,  48.94, 33.82,1.0000,0.0000,  2,  3
dp   ,   41, 1,  5,      0.00,  49.19, 49.19,0.0000,0.0000,  2,  4
dp   ,   41, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   42, 1,  1,      0.00,1000.00, 31.09,0.0000,0.0000,  1,  2
dp   ,   42, 1,  2,      0.00,  52.51, 37.39,0.0000,0.0000,  1,  3
dp   ,   42, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   42, 1,  4,    150.00,  48.92, 33.81,1.0000,0.0000,  2,  3
dp   ,   42, 1,  5,      0.00,  49.18, 49.18,0.0000,0.0000,  2,  4
dp   ,   42, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   43, 1,  1,      0.00,1000.00, 30.99,0.0000,0.0000,  1,  2
dp   ,   43, 1,  2,      0.00,  52.40, 37.29,0.0000,0.0000,  1,  3
dp   ,   43, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   43, 1,  4,    150.00,  48.91, 33.79,1.0000,0.0000,  2,  3
dp   ,   43, 1,  5,      0.00,  49.17, 49.17,0.0000,0.0000,  2,  4
dp   ,   43, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   44, 1,  1,      0.00,1000.00, 30.89,0.0000,0.0000,  1,  2
dp   ,   44, 1,  2,      0.00,  52.30, 37.19,0.0000,0.0000,  1,  3
dp   ,   44, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   44, 1,  4,    150.00,  48.89, 33.78,1.0000,0.0000,  2,  3
dp   ,   44, 1,  5,      0.00,  49.17, 49.17,0.0000,0.0000,  2,  4
dp   ,   44, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   45, 1,  1,      0.00,1000.00, 30.79,0.0000,0.0000,  1,  2
dp   ,   45, 1,  2,      0.00,  52.20, 37.09,0.0000,0.0000,  1,  3
dp   ,   45, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   45, 1,  4,    150.00,  48.88, 33.76,1.0000,0.0000,  2,  3
dp   ,   45, 1,  5,      0.00,  49.16, 49.16,0.0000,0.0000,  2,  4
dp   ,   45, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   46, 1,  1,      0.00,1000.00, 30.69,0.0000,0.0000,  1,  2
dp   ,   46, 1,  2,      0.00,  52.10, 36.99,0.0000,0.0000,  1,  3
dp   ,   46, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   46, 1,  4,    150.00,  48.86, 33.75,1.0000,0.0000,  2,  3
dp   ,   46, 1,  5,      0.00,  49.16, 49.16,0.0000,0.0000,  2,  4
dp   ,   46, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   47, 1,  1,      0.00,1000.00, 30.59,0.0000,0.0000,  1,  2
dp   ,   47, 1,  2,      0.00,  52.00, 36.89,0.0000,0.0000,  1,  3
dp   ,   47, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   47, 1,  4,    150.00,  48.85, 33.73,1.0000,0.0000,  2,  3
dp   ,   47, 1,  5,      0.00,  49.15, 49.15,0.0000,0.0000,  2,  4
dp   ,   47, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   48, 1,  1,      0.00,1000.00, 30.49,0.0000,0.0000,  1,  2
dp   ,   48, 1,  2,      0.00,  51.91, 36.79,0.0000,0.0000,  1,  3
dp   ,   48, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   48, 1,  4,    150.00,  48.83, 33.72,1.0000,0.0000,  2,  3
dp   ,   48, 1,  5,      0.00,  49.15, 49.15,0.0000,0.0000,  2,  4
dp   ,   48, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   49, 1,  1,      0.00,1000.00, 30.40,0.0000,0.0000,  1,  2
dp   ,   49, 1,  2,      0.00,  51.81, 36.70,0.0000,0.0000,  1,  3
dp   ,   49, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   49, 1,  4,    150.00,  48.82, 33.70,1.0000,0.0000,  2,  3
dp   ,   49, 1,  5,      0.00,  49.14, 49.14,0.0000,0.0000,  2,  4
dp   ,   49, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   50, 1,  1,      0.00,1000.00, 30.30,0.0000,0.0000,  1,  2
dp   ,   50, 1,  2,      0.00,  51.71, 36.60,0.0000,0.0000,  1,  3
dp   ,   50, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   50, 1,  4,    150.00,  48.80, 33.69,1.0000,0.0000,  2,  3
dp   ,   50, 1,  5,      0.00,  49.13, 49.13,0.0000,0.0000,  2,  4
dp   ,   50, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
